competition,date,time,venue,home_team,away_team,home_away
Men's League 1,2026-03-27,6:00 PM,BB1,Byron Bay,Bangalow,Away
Men's League 7,2026-03-28,1:00 PM,JSF,Bangalow,Casino RSM Cobras,Home
Men's League 3,2026-03-28,3:00 PM,NOS,Shores United,Bangalow,Away
Men's League 4,2026-03-28,3:00 PM,JSF,Bangalow,Pottsville Beach,Home
Women's Championship League,2026-03-29,12:30 PM,JSF,Bangalow,TEBFC,Home
Women's League 3,2026-03-29,2:30 PM,Potts1,Pottsville Beach,Bangalow,Away
Men's League 7,2026-04-10,6:00 PM,SkHd1,Lennox Head,Bangalow,Away
Men's League 4,2026-04-11,3:00 PM,WP1,Goonellabah,Bangalow,Away
Women's League 3,2026-04-12,12:30 PM,JSF,Bangalow,Ballina,Home
Men's League 3,2026-04-12,2:30 PM,JSF,Bangalow,Richmond Rovers,Home
Women's League 3,2026-04-17,6:00 PM,Mull1,MBVFC,Bangalow,Away
Men's League 3,2026-04-17,8:00 PM,CP 1,Alstonville,Bangalow,Away
Men's League 7,2026-04-18,1:00 PM,JSF,Bangalow,Eureka,Home
Men's League 1,2026-04-18,3:00 PM,KyH1,Kyogle,Bangalow,Away
Men's League 4,2026-04-18,3:00 PM,JSF,Bangalow,Casino RSM Cobras,Home
Women's Championship League,2026-04-19,12:30 PM,JSF,Bangalow,Lennox Head,Home
Age 5 Bos,2026-05-02,9:00 AM,SkHd4,Lennox Great White Sharks,Bangalow,Away
Girls Age 10 Foord,2026-05-02,9:00 AM,Mull2,MBVFC,Bangalow Dingoes,Away
Girls Age 10 Foord,2026-05-02,9:00 AM,Black Rocks 2,Pottsville Lynx,Bangalow Huskies,Away
Girls Age 7 Wheeler,2026-05-02,9:00 AM,BB4,Byron Bay Leopards,Bangalow Dingoes,Away
Girls Age 7 Wheeler,2026-05-02,9:00 AM,BB4,Byron Bay Lynx,Bangalow Huskies,Away
Age 8 Bos,2026-05-02,9:30 AM,Bang8,Bangalow Terriers,Byron Bay Panthers,Home
Age 8 McGree,2026-05-02,9:30 AM,Bang7,Bangalow Beagles,TEBFC Narwhals,Home
Age 6 Burgess,2026-05-02,10:00 AM,BB4,Byron Bay Pumas,Bangalow Kelpies,Away
Age 6 Burgess,2026-05-02,10:00 AM,SkHd4,Lennox Bull Sharks,Bangalow Heelers,Away
Age 7 Burgess,2026-05-02,10:00 AM,BB4,Byron Bay Cougars,Bangalow Terriers,Away
Age 9 Irvine,2026-05-02,10:00 AM,Black Rocks 2,Pottsville Cougars,Bangalow Heelers,Away
Girls Age 11 Carpenter,2026-05-02,10:10 AM,Black Rocks 2,Pottsville Lynx,Bangalow,Away
Girls Age 9 Kerr,2026-05-02,10:30 AM,WP3,Goonellabah,Bangalow,Away
Age 12 Div. 1,2026-05-02,10:30 AM,JSF,Bangalow Black,Bangalow Blue,Home
Girls Age 8 Arnold,2026-05-02,11:00 AM,Black Rocks 2,Pottsville Beach,Bangalow Dingoes,Away
Age 15 Div. 2,2026-05-02,11:00 AM,Cas4,Casino RSM Cobras,Bangalow,Away
Age 7 Burgess,2026-05-02,11:00 AM,BB4,Byron Bay Lions,Bangalow Kelpies,Away
Age 8 Bos,2026-05-02,11:00 AM,SkHd5,Lennox Makos,Bangalow Heelers,Away
Girls Age 6 Raso,2026-05-02,11:20 AM,NBO,Shores United,Bangalow,Away
Age 10/11 SAP,2026-05-02,11:20 AM,Mull2,MBVFC 10 SAP,Bangalow 10 SAP,Away
Age 10/11 SAP,2026-05-02,11:20 AM,BB5,Byron Bay 11 SAP,Bangalow 11 SAP,Away
Men's League 3,2026-05-02,1:00 PM,JSF,Bangalow,Lennox Head,Home
Men's League 1,2026-05-02,3:00 PM,JSF,Bangalow,Alstonville,Home
Girls Age 15,2026-05-03,9:30 AM,Dun1,Dunoon United,Bangalow,Away
Girls Age 12,2026-05-03,11:00 AM,Dun1,Dunoon United,Bangalow,Away
Men's League 3,2026-05-08,8:00 PM,Mull1,MBVFC,Bangalow,Away
Age 5 Bos,2026-05-09,9:00 AM,Bang3,Bangalow,Lennox Wobbegongs,Home
Girls Age 10 Foord,2026-05-09,9:00 AM,Bang9,Bangalow Huskies,MBVFC,Home
Girls Age 10 Foord,2026-05-09,9:00 AM,Bang10,Bangalow Dingoes,Byron Bay Leopards,Home
Girls Age 8 Arnold,2026-05-09,9:00 AM,Bang7,Bangalow Dingoes,Byron Bay Wildcats,Home
Girls Age 9 Kerr,2026-05-09,9:00 AM,Bang8,Bangalow,Lennox Head,Home
Age 13 Div. 2 North,2026-05-09,9:00 AM,JSF,Bangalow,Alstonville Black,Home
Age 15 Div. 2,2026-05-09,9:00 AM,Bang2,Bangalow,Lennox Head,Home
Age 6 Burgess,2026-05-09,9:00 AM,Bang4,Bangalow Heelers,Eureka,Home
Age 6 Burgess,2026-05-09,9:00 AM,Bang5,Bangalow Kelpies,Byron Bay Tigers,Home
